name_2,N_PERCENT_ASIAN,N_PERCENT_BLACK,N_PERCENT_HISPANIC,N_PERCENT_WHITE
Woodstone at Croasdaile Farm,8.769230769,16.0,3.846153846,69.84615385
Croasdaile Village,0.0,25.54824561,2.083333333,72.36842105
Placid Valley,0.0,0.6998444790566037,9.493001831650943,62.754246378301886
Fieldstone by the Eno,3.668005560818182,5.345518444749216,3.431343525793103,81.77529146316614
North Durham Community,1.085141903,9.18196995,0.667779633,76.79465776
Eno Commons,0.0,0.0,9.262166405,62.95133438
Grande Park,1.085141903,9.18196995,0.667779633,76.79465776
Autumn Ridge,0.0,56.41025641,6.666666667,34.65201465
Lattamoor,0.0,1.925254813,32.27633069,61.49490374
Pine Valley,0.0,9.550158955508984,0.010739548532934132,75.85572199508982
Willow Hill,0.0,56.41025641,6.666666666999999,34.65201465
Rougemont,0.0,34.18874172,8.443708609,57.36754967000001
Rockwood,2.6624344451518986,18.925377585949366,7.346532409278481,58.189567759088604
Long Meadow,7.051282051,11.05769231,0.608974359,68.46153846
Parkside,1.809210526,12.17105263,3.536184211,67.26973684
Forest Hills,2.733078817145161,11.252284247580645,4.62203348566129,73.8268871283871
College View,2.8058371366155117,59.786281221641914,15.9946864494934,17.759793532426567
North Carolina Central University,9.441207748511363,51.48204904477272,9.14568900509091,25.228427154204542
West End,1.927975914767647,53.55960999997059,3.38021693187353,36.446933415588234
Lakewood Park,4.9743984309469385,35.37056101526531,17.236306154338777,33.2770084357551
Burch Avenue,2.6988103978173914,19.998739393565216,7.997804124156523,65.13693360295652
Lyon Park,7.107540173,57.23114957,20.08652658,14.15327565
Morehead Hill,2.8473596776906853,25.770762462811952,6.340539898379613,62.542445245676625
Brookstown,2.705223881,19.776119399999995,8.02238806,65.29850746
Duke East Campus,7.481384613117648,19.411091318941175,7.224352382588235,60.78223856588235
Downtown,3.5786144941625766,17.522380417444783,6.7710348299693255,64.86429831518097
