"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_DISPLAY_MED_SALES_RATIO"
"R798C",8,1137344.13965087,0.702133329326605,0.61462815,2.274124155,0,87.95328826,0.728121535837794
"R798E",44,1270514.53309064,0.612933909350856,0.61462815,2.274124155,0,87.95328826,0.651200516934046
"R799A",20,544248.103186646,0.441378610841648,0,20.25316456,4.068716094,70.70524412,0.516979122621565
"R800A",15,460394.537177542,0.580886849807445,14.19753086,20.37037037,0.396825397,53.92416226,0.624768374164811
"R800B",67,526558.603491272,0.596261535278746,11.2314354333134,10.9405514788358,0.468556687432836,71.884525279403,0.630376315789474
"R800C",32,667342.690489273,0.548324222957687,9.47224993109375,11.4160495957812,0.08680555559375,75.9468946115625,0.602298723342521
"R800D",5,464600.484261501,0.601296189987163,8.149171271,8.908839779,0,82.11325967,0.596928421052632
"R800E",21,828179.551122195,0.58712630532972,8.149171271,8.908839779,0,82.11325967,0.626136774193548
"R800F",11,755000,0.625205298013245,14.40329218,1.783264746,3.223593964,76.54320988,0.645478092783505
"R800G",36,796623.672230653,0.634234117390859,14.19753086,20.37037037,0.396825397,53.92416226,0.672477697185174
"R801A",27,690000,0.56905581598255,10.9975326,12.19598167,0,70.46175538,0.626925
"R801B",7,686858.877086495,0.570018420957543,10.9975326,12.19598167,0,70.46175538,0.582811851851852
"R801C",8,666638.846737481,0.572289786902818,10.9975326,12.19598167,0,70.46175538,0.570243353617309
"R801D",10,567080.060140206,0.581668358496584,10.9975326,12.19598167,0,70.46175538,0.598955898520084
"R801E",19,576000,0.602405405405405,14.0447911715789,2.87934021168421,2.88426828357895,75.9030567747369,0.669255172413793
"R801F",35,874600.484261501,0.660534806592325,10.9975326,12.19598167,0,70.46175538,0.658720151610866
"R801I",10,618162.745667182,0.555059745451026,10.9975326,12.19598167,0,70.46175538,0.618894884917175
"R801J",7,1099127.18204489,0.546105136698809,10.9975326,12.19598167,0,70.46175538,0.608656888888889
"R802A",11,771471.927162367,0.591764730333219,6.420545746,3.531300161,0,85.71428571,0.637864788732394
"R802B",78,488220.338983051,0.592357850235191,7.01462075420513,20.2857624356026,8.77859121594872,61.501836949359,0.651210415672162
"R802C",26,368684.888688749,0.560811479369155,10.0533548796923,39.3072464330769,15.2383833784615,32.1446869753846,0.579568570448504
"R803A",39,371000,0.599177443655449,0,6.994047619,18.75,69.64285714,0.63699104477612
"R803B",21,744552.05811138,0.566535268292683,2.490421456,15.90038314,2.011494253,62.2605364,0.569652173913043
"R803C",48,390799.821433164,0.622500648328787,2.28288633466667,15.14602724325,2.13652410708333,64.1543942458333,0.67460051908397
"R803E",18,400144.432166927,0.58676199049651,0,11.2241431297778,0.780411667111111,86.9613997433333,0.605776621808144
"R803F",31,476513.317191283,0.548690697674419,0,7.9370785566129,2.83213911451613,85.4781979990322,0.568607683352736
"R803G",49,350000,0.582350204081633,0,9.58087671212245,6.01909906481633,84.1354484434694,0.65755
"R804A",71,506295.399515739,0.56768064578714,0.366808530591549,19.1246174473239,11.641310502493,63.1190253991549,0.61536
"R804B",13,507678.300455235,0.54536743010113,0,24.7626066192308,15.0654276630769,58.2886276123077,0.577856899488927
"R804C",9,435508.345978756,0.517173111243308,0,24.7565359533333,15.4762556311111,57.8868536088889,0.582171428571429
"R805A",18,521005.31107739,0.5099300757881,0,24.79240807,13.04863582,60.26097272,0.557153587056656
"R810A",14,754457.51138088,0.520496652713689,4.024496938,14.17322835,10.93613298,69.37882765,0.573496375661376
"R810B",5,690591.805766313,0.640980672379697,0,5.555555556,42.85714286,48.73015873,0.710608895705521
"R810D",8,523668.280871671,0.592988599534982,0,41.46505376,27.62096774,30.91397849,0.643719788702195
"R810G",23,398179.059180577,0.475999127035518,0,56.99588477,4.218106996,38.78600823,0.537213953488372
"R810H",13,690149.625935162,0.539063785907859,0,33.2541943635385,22.051508164,43.3756161530769,0.644719047619048
"R810I",7,584825.493171472,0.572152336593096,0,27.6014109334286,26.2975560611429,44.4683799442857,0.672542553191489
"R810J",14,385735.963581184,0.59688851940133,0,27.13833157,1.16156283,70.64413939,0.615204141865079
"R810K",172,487515.675908862,0.607019629147643,1.22311106693605,16.8254868806628,15.9161700560814,60.670696997907,0.682077908961593
"R810M",20,393640.897755611,0.552317475694553,4.024496938,14.17322835,10.93613298,69.37882765,0.574441558441558
"R810N",11,410622.15477997,0.507782061788618,0,12.40875912,2.773722628,79.27007299,0.576506527415144
"R810S",5,628802.992518703,0.652177239738251,0,56.99588477,4.218106996,38.78600823,0.677854545454545
"R811A",45,817955.112219451,0.611449305449029,4.44858266057778,1.16630219733333,1.262105592,92.1953005466667,0.639880821917808
"R811B",17,815022.761760243,0.657183490182031,13.835748124,2.13607151547059,3.03397078964706,76.5838110276471,0.691305825242718
"R811C",13,6e+05,0.58757384736428,14.40329218,1.783264746,3.223593964,76.54320988,0.600761290322581
"R811D",8,491014.44331061,0.58723181537348,14.40329218,1.783264746,3.223593964,76.54320988,0.600887036510194
"R811F",115,451062.215477997,0.652975925925926,6.68480268818261,11.6323914247913,1.80127943924348,66.952525096,0.718632352941176
"R811G",17,754479.418886199,0.653861643132221,0,26.24179944,28.39737582,28.49109653,0.672675324675325
"R811H",24,513277.693474962,0.555437076306364,0,26.24179944,28.39737582,28.49109653,0.584886502801231
"R812A",10,295416.966059428,0.475557353318734,0,63.12456017,23.78606615,8.092892329,0.54772243313201
