"name_2","N_SALES_QUARTILE","N_OVER_UNDER","count"
"BENT CREEK","Q4","accurate",2
"BENT CREEK","Q4","over",1
"BENT CREEK","Q4","under",0
"BENTWOOD","Q1","accurate",0
"BENTWOOD","Q1","over",3
"BENTWOOD","Q1","under",0
"BENTWOOD","Q2","accurate",0
"BENTWOOD","Q2","over",2
"BENTWOOD","Q2","under",0
"BENTWOOD","Q3","accurate",0
"BENTWOOD","Q3","over",0
"BENTWOOD","Q3","under",2
"BENTWOOD","Q4","accurate",0
"BENTWOOD","Q4","over",0
"BENTWOOD","Q4","under",3
"BIG TWIG LN","Q1","accurate",2
"BIG TWIG LN","Q1","over",0
"BIG TWIG LN","Q1","under",0
"BIG TWIG LN","Q2","accurate",2
"BIG TWIG LN","Q2","over",0
"BIG TWIG LN","Q2","under",0
"BIG TWIG LN","Q3","accurate",0
"BIG TWIG LN","Q3","over",0
"BIG TWIG LN","Q3","under",1
"BIG TWIG LN","Q4","accurate",2
"BIG TWIG LN","Q4","over",0
"BIG TWIG LN","Q4","under",0
"BIRCHWOOD HEIGHTS","Q1","accurate",0
"BIRCHWOOD HEIGHTS","Q1","over",8
"BIRCHWOOD HEIGHTS","Q1","under",0
"BIRCHWOOD HEIGHTS","Q2","accurate",3
"BIRCHWOOD HEIGHTS","Q2","over",4
"BIRCHWOOD HEIGHTS","Q2","under",1
"BIRCHWOOD HEIGHTS","Q3","accurate",2
"BIRCHWOOD HEIGHTS","Q3","over",0
"BIRCHWOOD HEIGHTS","Q3","under",6
"BIRCHWOOD HEIGHTS","Q4","accurate",4
"BIRCHWOOD HEIGHTS","Q4","over",0
"BIRCHWOOD HEIGHTS","Q4","under",4
"BLACK HORSE RUN","Q1","accurate",5
"BLACK HORSE RUN","Q1","over",3
"BLACK HORSE RUN","Q1","under",0
"BLACK HORSE RUN","Q2","accurate",6
"BLACK HORSE RUN","Q2","over",1
"BLACK HORSE RUN","Q2","under",1
"BLACK HORSE RUN","Q3","accurate",5
"BLACK HORSE RUN","Q3","over",2
"BLACK HORSE RUN","Q3","under",0
"BLACK HORSE RUN","Q4","accurate",2
"BLACK HORSE RUN","Q4","over",2
"BLACK HORSE RUN","Q4","under",4
"BLENHEIM WOODS","Q1","accurate",3
"BLENHEIM WOODS","Q1","over",1
"BLENHEIM WOODS","Q1","under",0
"BLENHEIM WOODS","Q2","accurate",2
"BLENHEIM WOODS","Q2","over",1
"BLENHEIM WOODS","Q2","under",0
"BLENHEIM WOODS","Q3","accurate",3
"BLENHEIM WOODS","Q3","over",0
"BLENHEIM WOODS","Q3","under",0
"BLENHEIM WOODS","Q4","accurate",1
"BLENHEIM WOODS","Q4","over",0
"BLENHEIM WOODS","Q4","under",3
"BLUECREST","Q1","accurate",2
"BLUECREST","Q1","over",0
"BLUECREST","Q1","under",0
"BLUECREST","Q2","accurate",1
"BLUECREST","Q2","over",0
"BLUECREST","Q2","under",0
"BLUECREST","Q3","accurate",1
"BLUECREST","Q3","over",0
"BLUECREST","Q3","under",0
