"VCS_block","VCS_SALES_QUARTILE","VCS_OVER_UNDER","count"
"R717H","Q1","under",1
"R717H","Q2","accurate",0
"R717H","Q2","over",1
"R717H","Q2","under",1
"R717H","Q3","accurate",1
"R717H","Q3","over",0
"R717H","Q3","under",1
"R717H","Q4","accurate",3
"R717H","Q4","over",0
"R717H","Q4","under",0
"R717J","Q1","accurate",2
"R717J","Q1","over",1
"R717J","Q1","under",0
"R717J","Q2","accurate",2
"R717J","Q2","over",1
"R717J","Q2","under",0
"R717J","Q3","accurate",3
"R717J","Q3","over",0
"R717J","Q3","under",0
"R717J","Q4","accurate",1
"R717J","Q4","over",1
"R717J","Q4","under",1
"R717K","Q1","accurate",8
"R717K","Q1","over",6
"R717K","Q1","under",1
"R717K","Q2","accurate",8
"R717K","Q2","over",4
"R717K","Q2","under",3
"R717K","Q3","accurate",5
"R717K","Q3","over",2
"R717K","Q3","under",7
"R717K","Q4","accurate",6
"R717K","Q4","over",1
"R717K","Q4","under",8
"R718A","Q1","accurate",2
"R718A","Q1","over",1
"R718A","Q1","under",0
"R718A","Q2","accurate",1
"R718A","Q2","over",0
"R718A","Q2","under",1
"R718A","Q3","accurate",2
"R718A","Q3","over",0
"R718A","Q3","under",0
"R718A","Q4","accurate",2
"R718A","Q4","over",0
"R718A","Q4","under",0
"R718B","Q1","accurate",4
"R718B","Q1","over",4
"R718B","Q1","under",0
"R718B","Q2","accurate",7
"R718B","Q2","over",0
"R718B","Q2","under",0
"R718B","Q3","accurate",7
"R718B","Q3","over",0
"R718B","Q3","under",0
"R718B","Q4","accurate",6
"R718B","Q4","over",1
"R718B","Q4","under",1
"R718C","Q1","accurate",1
"R718C","Q1","over",1
"R718C","Q1","under",0
"R718C","Q2","accurate",2
"R718C","Q2","over",0
"R718C","Q2","under",0
"R718C","Q3","accurate",0
"R718C","Q3","over",1
"R718C","Q3","under",1
"R718C","Q4","accurate",1
"R718C","Q4","over",0
"R718C","Q4","under",1
"R718D","Q1","accurate",17
"R718D","Q1","over",6
"R718D","Q1","under",3
"R718D","Q2","accurate",13
"R718D","Q2","over",8
"R718D","Q2","under",4
"R718D","Q3","accurate",12
"R718D","Q3","over",7
"R718D","Q3","under",6
"R718D","Q4","accurate",13
"R718D","Q4","over",3
"R718D","Q4","under",9
"R718E","Q1","accurate",3
